name,sourceJsonPath,description,longDescription,categories,relatedBlocks,includeInWebDocumentation,part_1_name,part_1_description,part_1_type,part_2_name,part_2_description,part_2_type,part_3_name,part_3_description,part_3_type,part_4_name,part_4_description,part_4_type,part_5_name,part_5_description,part_5_type,part_6_name,part_6_description,part_6_type,part_7_name,part_7_description,part_7_type,part_8_name,part_8_description,part_8_type,part_9_name,part_9_description,part_9_type,part_10_name,part_10_description,part_10_type,part_11_name,part_11_description,part_11_type,part_12_name,part_12_description,part_12_type,part_13_name,part_13_description,part_13_type,part_14_name,part_14_description,part_14_type,part_15_name,part_15_description,part_15_type,part_16_name,part_16_description,part_16_type,part_17_name,part_17_description,part_17_type,part_18_name,part_18_description,part_18_type,part_19_name,part_19_description,part_19_type,part_20_name,part_20_description,part_20_type,part_21_name,part_21_description,part_21_type,part_22_name,part_22_description,part_22_type,part_23_name,part_23_description,part_23_type,part_24_name,part_24_description,part_24_type,part_25_name,part_25_description,part_25_type
Eventhera,../NewPatch/Assets/Blocks\Eventhera\Eventhera.json,,,[],[],False,esReciver,,,interactionEventEmitter,,,PULL_extend_X,,,PULL_extend_Y,,,PULL_extend_Z,,,sO_X,,,sO_Y,,,sO_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
execute,../NewPatch/Assets/Blocks\execute\execute.json,Execute console command when triggered. Using up to 4 inputs :0 :1 :2... as parameter. ex : bgcolor :1 :2 :3,,"[""System""]",[],True,text_IN,,,esReciver,,,Button,,,s_IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
extension,../NewPatch/Assets/Blocks\extension\extension.json,"Like an extension cable, connects two blocks to pass a stream event through a longer distance.",,"[""Deprecated""]","[""split"", ""fork""]",True,multibreak_ICO,,,Input,Extension cable input.,stream input,Output,Grabbable extension cable output.,stream output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e_string,../NewPatch/Assets/Blocks\e_string\e_string.json,String intended to be used with bow block.,,"[""Interfaces/Special""]",[],False,Contact point on the bow,,,Distance with bow,Can be negative if a pressure with the bow is applied on the string.,,Contact point on string,,,Bowing rubbing speed,,,Bow hit speed,,,Bow rubbing speed sideway,,,Touch note,"When players touch the string, it outputs the position of their touch along the string.",,string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fan,../NewPatch/Assets/Blocks\fan\fan.json,Propels marbles when they pass in front of the fan.,,"[""Motion/Marble Run""]",[],False,visuals,,,Size,,,Wind Strength,,,ValveEventReciver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
field,../NewPatch/Assets/Blocks\field\field.json,Add Force or Gravity to all blocks inside.,,"[""Motion/Physics""]",[],False,Resize,Resize the area of the field.,,Strength,Force strength.,,Only Include,"Will only apply force to connected blocks. (if no blocks connected, field will affect every blocks inside)",,Exclude,Ignore blocks even if they are inside.,,Direction,Direction of the force to apply.,,Is Global,Will affets all physical blocks in the world.,,Is Global,Will affets all physical blocks in the world.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
filter,../NewPatch/Assets/Blocks\filter\filter.json,"Shapes your sound by cutting frequencies. Select a type (Low-Pass, High-Pass, or Band-Pass) to control what gets filtered out.","This filter lets you remove parts of a sound to change its character. The live graph shows you exactly what it's doing.

*   **Cutoff Knob:** This is your main control. It sets the frequency where the filter starts working. Sweep it to create the classic filter sound.

*   **Resonance Knob:** This adds a sharp, whistle-like boost at the cutoff frequency, making the effect more intense and aggressive.

**Filter Types:**

*   **Low-Pass (LP):** Lets the low-end through and cuts the highs. Use it to make sounds warmer, darker, or more muffled.

*   **High-Pass (HP):** Lets the high-end through and cuts the bass. Use it to make sounds thinner, crisper, or to clean up a muddy mix.

*   **Band-Pass (BP):** Only lets a narrow ""band"" of sound through. Great for creating a telephone or radio-like effect.","[""Audio/Filters""]",[],False,Cutoff Freq,Sets the frequency where the filter starts working,,Type Dial,"Select between 3 types of filtering: BP, HP, LP
(Bandpass, Highpass, Lowpass)
",,Output,,,Input,,,Resonance,"This adds a sharp, whistle-like boost at the cutoff frequency, making the effect more intense and aggressive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
filter_eq,../NewPatch/Assets/Blocks\filter_eq\filter_eq.json,"A filter EQ for boosting or cutting bass, treble, and mid-range frequencies",,[],[],False,Input,,,Cutoff Freq,It sets the frequency where the filter starts working,,Gain,Controls the amount of boost (values > 1.0) or cut (values < 1.0). The middle position (1.0) has no effect,,Type Dial,"Selects the EQ shape: Low Shelf (bass), High Shelf (treble), or Bell",,Steepness,"Adjusts the sharpness of the EQ curve. Higher values create a more focused, resonant effect",,Output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
floor,../NewPatch/Assets/Blocks\floor\floor.json,Rounds input float numbers down to their nearest integer values (i.e. 5.9 will output 5).,,"[""Audio/Converters""]","[""round"", ""modulo"", ""floor_jolt""]",True,Input,The number that will be rounded down to the nearest whole number.,stream input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
floor_jolt,../NewPatch/Assets/Blocks\floor_jolt\floor_jolt.json,Rounds jolt input float numbers down to their nearest integer values (i.e. 5.9 will output 5).,,"[""Logic/Operators""]","[""modulo_jolt"", ""floor""]",True,Input,Jolt that will be rounded down to the nearest whole number.,jolt input,Output,Emits result of rounding down jolt input to nearest whole number.,jolt output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
floor_speakers,../NewPatch/Assets/Blocks\floor_speakers\floor_speakers.json,,,[],[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plant_01,../NewPatch/Assets/Blocks\flower_01\plant_01.json,,,[],[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fluffy_tree,../NewPatch/Assets/Blocks\fluffy_tree\fluffy_tree.json,,,[],[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fluidmicrophone2,../NewPatch/Assets/Blocks\fluidmicrophone2\fluidmicrophone2.json,,,"[""Interfaces/Special""]",[],False,Ready to record,Outputs a jolt when ready to record. Either because the player is close or because they pressed the record toggle.,jolt output,Input,Input audio to record.,stream input,Record toggle,Press and hold down trigger to record audio. Release trigger to stop recording.,interactive,Is recording,Outputs a 1 when the fluidmic. starts recording and 0 when it stops.,jolt output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fork,../NewPatch/Assets/Blocks\fork\fork.json,"Extension cable and/or splitter, transmits one input stream as one or more stream outputs over a distance.",,"[""Logic/Connectors""]","[""split"", ""extension""]",True,Input,Stream input to be passed to output(s) unchanged.,stream input,Make new cable,Pull while holding trigger to create a new connection.,interactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fork_output,../NewPatch/Assets/Blocks\fork_output\fork_output.json,,,"[""Unclassified""]",[],False,fork_output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frame_drum,../NewPatch/Assets/Blocks\frame_drum\frame_drum.json,Drum making sound when struck,,"[""Audio/Physical""]",[],False,visuals,,,PitchHandle,Change the size of the drum,,Decay,Control the decay time,,decayEventReceiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freeverb,../NewPatch/Assets/Blocks\freeverb\freeverb.json,Reverb,,"[""Deprecated""]",[],True,s_IN_0_in,,,s_IN_1_roomsize,,,s_IN_2_feedback,,,s_IN_3_frezze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frequency_analyzer,../NewPatch/Assets/Blocks\frequency_analyzer\frequency_analyzer.json,,,"[""Experimental""]",[],True,signal_input,,,trigger_analysis,,,max_freq,,,max_freq_amplitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
from_db,../NewPatch/Assets/Blocks\from_db\from_db.json,Converts value from dB to amplitude,,"[""Audio/Converters""]","[""to_db""]",True,s_IN_0, a,,Input,Value which will be converted from dB.,stream input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
function,../NewPatch/Assets/Blocks\function\function.json,Use math functions,,"[""Logic/Operators""]",[],False,Set Type Reciever,0 - sin; 1 - cos; 2 - tanh; 3 - floor; 4 - abs; 5 - one_minus; 6 - sign; 7 - round; 8 - ceil,,Input,Input value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
funnel,../NewPatch/Assets/Blocks\funnel\funnel.json,,,"[""Deprecated""]",[],True,Grab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gate,../NewPatch/Assets/Blocks\gate\gate.json,Allows or disallows jolts to pass based on the set stream value.,,"[""Logic/Conditional""]","[""sequence""]",True,Output,Emits the received jolt value as a jolt if gate value is equal or greater than 0.5,jolt output,Gate,Sets the gate state. Values equal or greater than 0.5 will set gate state to 'open'.,stream input,Input,Receives jolt value which will be passed to the output if gate value is equal or greater than 0.5,jolt input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
get,../NewPatch/Assets/Blocks\get\get.json,Emits jolt event when triggered. Value is determined by the stream input.,,"[""Interfaces/Tap""]","[""stoe""]",True,Value,Sets the value that will be emitted (without triggering the output).,stream input,Output,Emits jolt output when triggered.,jolt output,Button,Triggers the output to emit the set value.,interactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
get_name,../NewPatch/Assets/Blocks\get_name\get_name.json,"Get the name of the given blocks. (can also give player's or device's name) If multiple blocks are given, it will separate them with a comma and whitespace.",,[],[],False,Source Block,Blocks from which we retrieve the name.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ghost,../NewPatch/Assets/Blocks\ghost\ghost.json,Place a recorded controller and change the timing.,,[],[],True,k_offset," Offset the animation in time.",,b_offset," Restart when pressed.",,k_tempo," Set the base tempo.",,k_beat, Set how many beats it lasts before looping.,,Grab sphere VR,,,text_IN,,,k_startTrim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ghost_looper,../NewPatch/Assets/Blocks\ghost_looper\ghost_looper.json,Let you record yourself. A copy of your avatar will then playback your movements on instruments.,,"[""Player""]",[],True,Ghost loop ended,This triggers when ghost loop reached the end.,,Trigger Recording / Playback,Play / Record the ghost sequence.,,Offset Time,"Will offset the ghost sequence playback, with a duration given in beat count.",,Pause On/Off,Send 0 to pause and hide the ghost. 1 to continue playing.,,Is Recording,"0  - Recording just started
x  - Time of recording
-1 - Recording Cancelled",,Recording duration,How long will be the recording in bar (4 beats).,,State,0 Empty - 1 Standby - 2 Recording - 3 FinishingRecording - 4 Playback,,Progress,Progress time of the playback in beats.,,Record/Play Button,"Hit the button once, get in position, then press ""A"" button on our controller to actually start the recording.
When a ghost is recorded, hit this button to play/pause the recording.",,Record Voice,Should we also record the voice from the microphone ?,,Record Voice on/off,Should we also record the voice from the microphone ?,,Loop on/off,Makes the recording to loop when finished.,,Loop on/off,Makes the recording to loop when finished.,,Clear,Delete the ghost recording.,,Cancel,Abort recording.,,Rewind,Rewind recording to the beginning.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global_reverb,../NewPatch/Assets/Blocks\global_reverb\global_reverb.json,,,"[""Experimental""]",[],True,s_IN_1_decayTime,,,s_IN_2_absorb,,,s_IN_3_freeze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goo_terrain,../NewPatch/Assets/Blocks\goo_terrain\goo_terrain.json,,,"[""Terrains""]",[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gradient_cone_01,../NewPatch/Assets/Blocks\gradient_cone_01\gradient_cone_01.json,,,"[""Props""]",[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gradient_cone_02,../NewPatch/Assets/Blocks\gradient_cone_02\gradient_cone_02.json,,,"[""Props""]",[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gradient_sphere,../NewPatch/Assets/Blocks\gradient_sphere\gradient_sphere.json,,,"[""Props""]",[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gravity,../NewPatch/Assets/Blocks\gravity\gravity.json,,,"[""Motion/Marble Run""]",[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hammer,../NewPatch/Assets/Blocks\hammer\hammer.json,,,"[""Experimental""]",[],True,s_IN_0,,,s_IN_1,,,s_IN_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handle,../NewPatch/Assets/Blocks\handle\handle.json,Lets you attach object together. Click and drag from handle to the object.,,"[""Deprecated""]",[],True,handle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hapticcontrol,../NewPatch/Assets/Blocks\hapticcontrol\hapticcontrol.json,Controls haptics of the controllers,Sending values between 0-1 to the stream input will set the intensity of the controller vibration,"[""System""]","[""controllerrotation"", ""controllerposition"", ""moveanalysis"", ""controllerrotation""]",True,Haptics right,Right controller haptics,stream input,Haptics left,Left controller haptics,stream input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
help_button,../NewPatch/Assets/Blocks\help_button\help_button.json,Press the button - triggers a jolt input when activated.,,"[""Interfaces/Tap""]",[],True,Button,Button,,Emitter,Emits jolt of active value,,e_I,Jolt input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
highpass,../NewPatch/Assets/Blocks\highpass\highpass.json,12 dB/oct (two-pole) biquad high-pass filter.,,"[""Audio/Filters""]","[""lowpass"", ""onepole"", ""ladder"", ""statevariable"", ""allpass2""]",True,Signal input,The input signal.,stream input,Cutoff frequency,Cutoff frequency of the filter (in Hz). Must not be less than one.,stream input,Resonance,Resonance of the filter. Must not be less than zero.,stream input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high_shelf,../NewPatch/Assets/Blocks\high_shelf\high_shelf.json,Boosts or cuts frequencies above a given frequency.,,"[""Audio/Filters""]",[],False,input,The signal to filter,straem input,freq,The frequency above which to boost or cut.,stream input,gain,How much to boost or cut.,,steepness,How steep the passband should be.,stream input,output,The filtered signal,stream output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hsvtorgb,../NewPatch/Assets/Blocks\hsvtorgb\hsvtorgb.json,,,"[""Experimental""]",[],True,sO_R,,,sO_G,,,sO_B,,,Hue,,,Saturation,,,Value,,,Grab sphere VR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ice_crystal_terrain,../NewPatch/Assets/Blocks\ice_crystal_terrain\ice_crystal_terrain.json,,,"[""Terrains""]",[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ice_terrain,../NewPatch/Assets/Blocks\ice_terrain\ice_terrain.json,,,[],[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
if_else,../NewPatch/Assets/Blocks\if_else\if_else.json,"Compares a jolt value with a stream value and outputs a jolt value through one of the two outputs, depending on whether the condition is met or not",,"[""Logic/Conditional""]","[""compare""]",True,SetTypeReciever,,,Input,"Receives value which will be compared with value set in the stream input, triggers the comparison.",jolt input,Comparison operation,Sets the type of the comparison operation.,interactive,Compare with,Sets the value that will be compared with the incoming value from the jolt input (without triggering the output).,stream input, Output if,Emits received jolt value if the condition is met.,jolt output, Output else,Emits received jolt value if the condition is not met.,jolt output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
image,../NewPatch/Assets/Blocks\image\image.json,Loads .png/.jpg/.gif file with transparency. It has a spritesheet feature (Inspector) to play animations like gifs.,,"[""Visuals/Media""]",[],True,Resize handle,,,Frame ID (spritesheet),"When using spritesheet feature, this input controls which frame to display.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inspector,../NewPatch/Assets/Blocks\Inspector\Inspector.json,,,[],[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
integrator,../NewPatch/Assets/Blocks\integrator\integrator.json,A leaky integrator with separate constants for the rise and fall time. This block can be used to smooth out an incoming signal so that the change in the signal level cannot exceed a certain value per second. Combine with the 'abs' block to create an envelope follower.,,"[""Logic/Timing""]",[],True,Signal input,The signal to integrate.,stream input,Rise control,The integration constant to use when the signal is rising.,stream input,Fall control, The integration constant to use when the signal is falling.,stream input,Set value,Immediately set the internal value of the integrator. Usually you will want to set the value of the signal (stream) input as well.,jolt input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
interaction_box,../NewPatch/Assets/Blocks\interaction_box\interaction_box.json,A highly flexible interface for building different kinds of interactions.,"A box-shaped area that can be divided into segments along each axis. Provides a variety of different jolt outputs for each controller inside the interaction area, and lets you control the controller's haptics.","[""Interfaces/Move""]",[],True,Resize handle,Drag to resize the interaction area.,interactive,Right X,Emits the X position of the right controller.,jolt output,Right Y,Emits the Y position of the right controller.,jolt output,Right Z,Emits the Z position of the right controller.,jolt output,Right present,Emits a 1 when the right controller enters the area and 0 when it leaves.,jolt output,Right trigger,Emits a value between 0 and 1 depending on how much the right controller trigger button is pressed. If 'Continous trigger' is turned off via the inspector it sends out 1/0 when the trigger is pressed/released.,jolt output,Left X,Emits the X position of the left controller.,jolt output,Left Y,Emits the Y position of the left controller.,jolt output,Left Z,Emits the Z position of the left controller.,jolt output,Left present,Emits a 1 when the left controller enters the area and 0 when it leaves.,jolt output,Left trigger,Emits a value between 0 and 1 depending on how much the left controller trigger button is pressed. If 'Continous trigger' is turned off via the inspector it sends out 1/0 when the trigger is pressed/released.,jolt output,Segments X,Controls the number of segments in the X direction.,knob,Segments X,Controls the number of segments in the X direction.,jolt input,Segments Y,Controls the number of segments in the Y direction.,knob,Segments Y,Controls the number of segments in the Y direction.,jolt input,Segments Z,Controls the number of segments in the Z direction.,knob,Segments Z,Controls the number of segments in the Z direction.,jolt input,Haptics left,Controls the vibration strength of the left controller.,stream input,Haptics right,Controls the vibration strength of the right controller:,stream input,,,,,,,,,,,,,,,,,,
interaction_cylinder,../NewPatch/Assets/Blocks\interaction_cylinder\interaction_cylinder.json,"Like the interaction_box, but cylinder shaped.",,"[""Interfaces/Move""]",[],False,Resize handle,Use trigger to resize.,interactive,Left controller height,Sends out the left controller height,jolt output,Left controller radius,The distance of the left controller to the center of the cylinder.,jolt output,Left controller angle,The angular position of the controller. Range 0 to 1 clockwise.,jolt output,Left controller present,Sends a 1 when a left controller enters and 0 when it exits.,jolt output,Left controller trigger,Sends out the analog value of the left controller's trigger button.,jolt output,Left controller roll,Sends out the roll angle of the left controller. Range -0.5 to 0.5.,jolt output,Left controller haptics,Controls the vibration of the left controller.,stream input,Left controller haptics,Controls the vibration of the left controller.,stream input,Right controller present,Sends a 1 when a left controller enters and 0 when it exits,jolt output,Right controller trigger,Sends out the analog value of the left controller's trigger button.,jolt output,Right controller roll,Sends out the roll angle of the left controller. Range -0.5 to 0.5.,jolt output,Right controller height,Sends out the right controller height,jolt output,Right controller radius,The distance of the right controller to the center of the cylinder.,jolt output,Right controller angle,The angular position of the controller.,jolt output,Right controller haptics,Controls the vibration of the left controller.,stream input,Right controller haptics,Controls the vibration of the left controller.,stream input,Num. height segments,Controls the number of segments along the height of the cylinder.,knob,Num. radial segments,Controls the number of segments going from the middle of the cylinder outwards.,knob,Num. angular segments,Controls the number of segments going around the cylinder (like a clock).,knob,,,,,,,,,,,,,,,
joint,../NewPatch/Assets/Blocks\joint\joint.json,"Let you connect two physical parts together and control / constrain rotation. (let you make robotic arms, wheel, joystick etc)
- Place this joint inside a physical group.
- Connect the selector to a different group (or block).
Both group will be subject to the constraint.
Activate different features and degree of freedom from the Inspector.",,"[""Motion/Physics""]",[],False,Connected Part,"Connected block will become automatically physical if no ""Make Physical"" block is used. Can connect to only one block or group.",,Resize the shaft,Only affect visuals.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
joint_direction,../NewPatch/Assets/Blocks\joint_direction\joint_direction.json,"Used in combiation with ""joint"" block. Control both Heading and Elevation rotations.",,[],[],False,Spring,How fast it goes to target position.,,Inertia/Damper,Prevent the Spring force to wobble. Inertia is also used as force for target velocity.,,Target Position,It requires non-zero Spring in order to move.,,Target Velocity,"It requires non-zero Inertia in order to move, and work best with Spring to zero.",,Target Position,It requires non-zero Spring in order to move.,,Target Velocity,"It requires non-zero Inertia in order to move, and work best with Spring to zero.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
joint_direction_limit,../NewPatch/Assets/Blocks\joint_direction_limit\joint_direction_limit.json,Used to limit the red/green angle to a min/max angle.,,[],[],False,Heading Limit,,,Elevation Limit,,,Toggle Mode,,,Spring,,,Inertia,,,Bounciness 0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
joint_direction_output,../NewPatch/Assets/Blocks\joint_direction_output\joint_direction_output.json,Output position & speed of the X/Y joint rotation.,,[],[],False,Grab,,,Position X,Output position in degrees [-180;180],,Speed X,Output rotation speed in degree per second.,,Position Y,Output position in degrees [-180;180],,Speed Y,Output rotation speed in degree per second.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
joint_piston,../NewPatch/Assets/Blocks\joint_piston\joint_piston.json,"Used in combiation with ""joint"" block. Control Piston forward movement.",,[],[],False,Spring,How fast it goes to target position.,,Inertia/Damper,Prevent the Spring force to wobble. Inertia is used as force for target velocity.,,Target Position,It requires non-zero Spring in order to move.,,Target Velocity,"It requires non-zero Inertia in order to move, and work best with Spring to zero.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
joint_piston_limit,../NewPatch/Assets/Blocks\joint_piston_limit\joint_piston_limit.json,Used to limit the piston range with distance.,,[],[],False,Distance Limit,,,Toggle Mode,,,Spring,,,Inertia,,,Bounciness 0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
joint_piston_output,../NewPatch/Assets/Blocks\joint_piston_output\joint_piston_output.json,Output position and speed of the joint linear movement.,,[],[],False,Position,Offset position in meter.,,Speed,Offset speed in meter per second.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
joint_roll,../NewPatch/Assets/Blocks\joint_roll\joint_roll.json,"Used in combiation with ""joint"" block. Control roll rotation.",,[],[],False,Spring,How fast it goes to target position.,,Inertia/Damper,Prevent the Spring force to wobble. Inertia is used as force for target velocity.,,Target Position,It requires non-zero Spring in order to move.,,Target Velocity,"It requires non-zero Inertia in order to move, and work best with Spring to zero.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
joint_roll_limit,../NewPatch/Assets/Blocks\joint_roll_limit\joint_roll_limit.json,Used to limit the blue angle to a min/max angle.,,[],[],False,Low angle,,,High Angle,,,Toggle Mode,,,Spring,,,Inertia,,,Bounciness 0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
joint_roll_output,../NewPatch/Assets/Blocks\joint_roll_output\joint_roll_output.json,Output position & speed of the roll rotation.,,[],[],False,Position,Output position in degrees [-180; 180],,Speed,Output rotation speed in degree per second.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
join_apply_text,../NewPatch/Assets/Blocks\join_apply_text\join_apply_text.json,"Given multiple blocks with text, it combine the different text into one and apply to its target block.",,[],[],False,Source Text,"Can have multiple text as input, so it joins all text together.",,Manual Trigger,You can connect a jolt here so it doesn't automatically trigger itself when source blocks change.,,Target block,"Target blocks, whose text will change.",,Clear,Clear the text.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
joshua_tree,../NewPatch/Assets/Blocks\joshua_tree\joshua_tree.json,,,"[""Plants""]",[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
karplus_strong,../NewPatch/Assets/Blocks\karplus_strong\karplus_strong.json,,,"[""Experimental""]",[],True,s_IN_0,,,s_IN_1,,,s_IN_2,,,s_IN_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
