name,sourceJsonPath,description,longDescription,categories,relatedBlocks,includeInWebDocumentation,part_1_name,part_1_description,part_1_type,part_2_name,part_2_description,part_2_type,part_3_name,part_3_description,part_3_type,part_4_name,part_4_description,part_4_type,part_5_name,part_5_description,part_5_type,part_6_name,part_6_description,part_6_type,part_7_name,part_7_description,part_7_type,part_8_name,part_8_description,part_8_type,part_9_name,part_9_description,part_9_type,part_10_name,part_10_description,part_10_type,part_11_name,part_11_description,part_11_type,part_12_name,part_12_description,part_12_type,part_13_name,part_13_description,part_13_type,part_14_name,part_14_description,part_14_type,part_15_name,part_15_description,part_15_type,part_16_name,part_16_description,part_16_type,part_17_name,part_17_description,part_17_type,part_18_name,part_18_description,part_18_type,part_19_name,part_19_description,part_19_type,part_20_name,part_20_description,part_20_type,part_21_name,part_21_description,part_21_type,part_22_name,part_22_description,part_22_type,part_23_name,part_23_description,part_23_type,part_24_name,part_24_description,part_24_type,part_25_name,part_25_description,part_25_type
block_foreach,../NewPatch/Assets/Blocks\block_foreach\block_foreach.json,"Foreach block set in the input, it will output the block and its index.","Can be use with blocks like set position, set color, to customize blocks given their index.","[""System""]",[],False,Block count,Output count of blocks when foreach is triggered.,,Input blocks,,,Output block,,,Trigger,,,Block id in the input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
block_get_look,../NewPatch/Assets/Blocks\block_get_look\block_get_look.json,"Output angle between front/right or up direction of the origin, and the target position.",,"[""Motion/Positioning""]",[],True,origins,,,targets,,,Angle Z,Is the front of the origin facing the target ?,,Angle Y.,Is the right side of the origin facing the target ?,,Angle X,Is the up direction of the origin facing the target ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
block_list,../NewPatch/Assets/Blocks\block_list\block_list.json,"UI which list of all the block, and let you remove/inspect/teleport to them.",,"[""System""]",[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
block_lookat,../NewPatch/Assets/Blocks\block_lookat\block_lookat.json,,,"[""Motion/Positioning""]",[],True,InteractiveSelector,,,speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
block_relative_position,../NewPatch/Assets/Blocks\block_relative_position\block_relative_position.json,"Get X,Y,Z position of the connected block (""target"" input). Can also get position relative to another block (""Origin"" optional input).",,"[""Motion/Positioning""]",[],True,X,Left/right,,Y,Down/up,,Z,Back/front,,Origin (Optional),Output position will be relative to this block if connected.,,Target,Block to Get Position.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
block_set_color,../NewPatch/Assets/Blocks\block_set_color\block_set_color.json,Can change the color of the connected block. Inputs values are expected to be between 0 and 1 range.,,"[""Visuals/Design""]",[],False,InteractiveSelector,,,Hue,,,Saturation,,,Brightness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
block_set_position,../NewPatch/Assets/Blocks\block_set_position\block_set_position.json,"Change position of the ""target"" block. You can give an optional ""origin"" block, it will then position the target block relative to this one.",,"[""Motion/Positioning""]",[],True,Origin (optional),Target position will be set relative to this block.,,Target,Block to Set Position.,,X,Move Left/Right.,,Y,Move Up/Down.,,Z,Move Back/Forward.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
block_set_scale,../NewPatch/Assets/Blocks\block_set_scale\block_set_scale.json,,,"[""Visuals/Design""]",[],False,InteractiveSelector,,,Scale X,,,Scale Y,,,Scale Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
block_spawn,../NewPatch/Assets/Blocks\block_spawn\block_spawn.json,"You can give it a block or device as reference, and spawn copies of this same block.","You can give a life time to spawned blocks.
This block also output all spawned blocks.","[""System""]",[],False,Template to spawn,,,All copies,,,Spawn,Input value must give the number of instances to spawn.,,Clear all,Clear all copies.,,Life time of copies,"Life time of copies (need to be set prior to spawn), lifetime of -1 is permanent.",,Spawn position,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
block_watcher,../NewPatch/Assets/Blocks\block_watcher\block_watcher.json,Attaches to other blocks and emits jolts when stuff happens.,,"[""Interfaces/Special""]",[],True,Selector,Pull out sticks to attach blocks to be watched. ,selector,Hover,Emits a jolt when you start or stop hovering your controller over an attached block.,jolt output,Grab,Emits a jolt when you grab or release an attached block.,jolt output,Hit,Emits the velocity of the controller when you hit and attached block (if it's hittable).,jolt output,Marble,Emits the velocity of the marble when an attached block gets hit by a marble (if it supports marble hits).,jolt output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blooper,../NewPatch/Assets/Blocks\blooper\blooper.json,,,"[""Deprecated""]",[],False,Button,,,InteractiveDrag,,,emit_vel,,,emit_size,,,RecPlay Selector,,,Hit_Elevation,,,Hit_Azimuth,,,emit_BaseBlackPartDistance,,,emit_Pressure,,,emit_Hover,,,emit_CrossFade,,,emit_SmallDotPartsDistance,,,esReciver,,,Eject Bubble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
